study,model,condition,mean_latency_seconds,latency_coefficient_of_variation
primary_120_scenario,llama3,baseline,5.1355,
primary_120_scenario,llama3,rag,5.5354,
primary_120_scenario,deepseek-r1_8b,baseline,6.0363,
primary_120_scenario,deepseek-r1_8b,rag,5.5166,
primary_120_scenario,gemma3_12b,baseline,11.0498,
primary_120_scenario,gemma3_12b,rag,13.6177,
primary_120_scenario,qwen3_8b,baseline,4.8270,
primary_120_scenario,qwen3_8b,rag,5.2002,
primary_120_scenario,gpt-oss_20b,baseline,12.1472,
primary_120_scenario,gpt-oss_20b,rag,17.2804,
consistency_1000_record,deepseek-r1:8b,baseline,5.8499,0.0454
consistency_1000_record,gemma3:12b,baseline,10.8429,0.0482
consistency_1000_record,gpt-oss:20b,baseline,12.2192,0.0603
consistency_1000_record,llama3,baseline,5.0066,0.0539
consistency_1000_record,qwen3:8b,baseline,4.754,0.0443
consistency_1000_record,deepseek-r1:8b,rag,5.0491,0.0678
consistency_1000_record,gemma3:12b,rag,11.1555,0.1149
consistency_1000_record,gpt-oss:20b,rag,17.4869,0.1214
consistency_1000_record,llama3,rag,5.2698,0.0609
consistency_1000_record,qwen3:8b,rag,4.8304,0.0778
